DATE,12/17/2019,12/17/2019,12/17/2019,12/17/2019
445.03,8.41E-04,0.00161364,3.32E-05,0.00113022
445.37,9.24E-04,0.00156458,4.95E-07,0.00112943
445.71,9.72E-04,0.00165239,3.04E-05,0.00116528
446.05,8.72E-04,0.0015195,5.90E-06,0.00112584
446.39,8.26E-04,0.00148317,7.23E-06,0.00114435
446.72,7.19E-04,0.00137633,1.85E-05,0.00112792
447.06,6.97E-04,0.0013251,-1.26E-06,0.00109794
447.4,8.58E-04,0.00163919,1.61E-05,0.00119994
447.74,8.29E-04,0.00167454,-6.02E-06,0.0012336
448.08,8.07E-04,0.00166444,7.94E-07,0.00120942
448.42,0.00100399,0.00189714,1.09E-05,0.00126003
448.75,0.00101863,0.00191911,-6.57E-06,0.00122669
449.09,0.00100288,0.00190451,-2.12E-05,0.00121027
449.43,9.46E-04,0.00189804,6.17E-06,0.0012169
449.77,8.12E-04,0.00174526,1.14E-05,0.00121822
450.11,7.80E-04,0.00172322,3.28E-05,0.0012528
450.44,7.55E-04,0.00171993,-4.02E-06,0.00127941
450.78,5.40E-04,0.00152338,1.22E-05,0.00127384
451.12,5.12E-04,0.00143395,2.82E-05,0.00128487
451.46,5.17E-04,0.00136533,2.68E-05,0.00128204
451.8,5.27E-04,0.00136143,1.34E-05,0.00132348
452.13,4.53E-04,0.00132109,4.38E-05,0.00129262
452.47,4.70E-04,0.00139009,3.82E-05,0.00128829
452.81,4.13E-04,0.00130618,6.30E-05,0.00128546
453.15,4.31E-04,0.00125811,7.47E-05,0.00128771
453.49,4.23E-04,0.00121526,4.00E-05,0.00127916
453.82,4.29E-04,0.00121488,3.21E-05,0.00128306
454.16,4.47E-04,0.00114814,6.01E-05,0.00121668
454.5,4.54E-04,0.00114451,4.35E-05,0.00119612
454.84,4.96E-04,0.00121452,4.44E-05,0.00116837
455.18,5.31E-04,0.00119323,3.83E-06,0.00115331
455.51,5.48E-04,0.00115107,-3.42E-05,0.00111081
455.85,5.99E-04,0.00115069,-4.46E-05,0.00110952
456.19,5.82E-04,0.00121619,-3.28E-05,0.00115
456.53,5.92E-04,0.00133074,-1.11E-05,0.00121217
456.86,7.59E-04,0.00147281,-9.43E-07,0.00125875
457.2,8.92E-04,0.00156976,1.24E-05,0.00128143
457.54,8.97E-04,0.00163083,7.87E-05,0.00126342
457.88,0.0010326,0.0018898,8.98E-05,0.00129098
458.22,0.00114288,0.00210345,1.37E-04,0.00133182
458.55,0.00113335,0.00208137,1.75E-04,0.0013466
458.89,0.00113096,0.00205196,1.35E-04,0.00130977
459.23,0.00103931,0.00181549,8.66E-05,0.00121002
459.57,8.64E-04,0.00156865,5.50E-05,0.0012126
459.9,8.69E-04,0.00148523,5.65E-06,0.00118078
460.24,7.60E-04,0.00127313,-3.91E-06,0.00116166
460.58,6.78E-04,0.00116148,-1.43E-05,0.00116475
460.92,7.08E-04,0.00117143,-7.80E-05,0.00112348
